Nazione,CodNazione,Anno,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",Births attended by skilled health staff (% of total),"Contraceptive prevalence, any method (% of married women ages 15-49)",Domestic credit provided by financial sector (% of GDP),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)",Forest area (sq. km),GDP (current US$),GDP growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net barter terms of trade index (2015 = 100),Net migration,Net official development assistance and official aid received (current US$),"Personal remittances, received (current US$)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)","Revenue, excluding grants (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)",Surface area (sq. km),Tax revenue (% of GDP),Terrestrial and marine protected areas (% of total territorial area),Time required to start a business (days),"Total debt service (% of exports of goods, services and primary income)",Urban population growth (annual %)
Brazil,BRA,2017,56.558,4.601,1.16,98.7,,,,,12.519,543000470111,1.736,68885491315,5000916,2063514977334,1.323,8830,14290,1808496550031,2924570810530,14.626,14.312,87.0,11.801,3.2,18.189,3.671,75,18.456,1.414,106,15.3,108.236,-156296,273869995,2698770651,24.492,0.728,204703445,5.3,,0.5,,,27.825,109.809,1.005,103.016,8515770,13.605,28.578,82,34.768,1.038
Brazil,BRA,2018,54.287,4.42,1.175,98.8,,,,,14.635,557765380775,1.749,78183840045,4990514,1916933898038,1.784,9320,15030,1920050002130,3098565570921,15.095,14.744,92.0,14.241,3.1,18.749,4.494,75,22.157,1.47,100,15.0,106.882,-230334,444970001,2933489276,24.659,0.683,206107261,5.3,,0.5,,,28.583,108.623,1.007,105.007,8515770,13.94,28.578,20,33.309,0.984
Brazil,BRA,2019,50.958,4.205,1.191,98.4,,,,,14.123,568708887352,1.703,69174411753,4977985,1873288205186,1.221,9410,15640,1953066789010,3244270827746,15.517,14.067,91.0,14.767,3.1,18.755,4.224,75,22.116,1.383,95,14.8,107.037,-129216,272500000,3213621677,24.821,0.652,207455459,5.4,,0.5,3.5,,29.152,107.407,1.01,103.953,8515770,13.738,28.578,17,53.47,0.946
Brazil,BRA,2020,47.46,5.711,1.187,98.4,,,,,16.454,549325935898,1.649,38270116307,4966196,1476107231194,-3.277,8080,15770,1686362765402,3289682051502,16.116,11.35,79.0,15.849,4.5,19.506,6.472,74,25.44,1.327,97,14.5,107.674,-78437,612539978,3566219438,24.965,0.579,208660842,2.0,,0.6,,,25.699,105.498,1.006,104.126,8515770,12.719,29.237,,50.353,0.866
Brazil,BRA,2021,45.67,6.559,1.189,,,,,,19.109,571530916150,1.641,46440503520,4953914,1670647399035,4.763,8060,17510,1689214340415,3669595695972,19.522,9.002,73.0,18.547,3.3,22.123,13.047,73,30.857,1.164,102,14.3,123.231,-208581,1114540039,4102018148,25.071,0.425,209550294,5.8,,0.6,,,27.327,103.472,,106.652,8515770,14.137,29.256,,46.725,0.705
Brazil,BRA,2022,42.881,5.767,,,,,,,19.631,579468087189,1.626,74606361830,4941960,1951923942083,3.017,8450,19330,1776651444579,4064426514693,18.088,9.111,81.0,19.185,3.6,22.819,8.57,73,32.09,1.053,99,14.0,,-253639,577010010,4973758735,25.162,0.36,210306415,3.5,,0.6,,,29.616,103.97,,106.031,8510418,14.726,29.256,,29.916,0.632
China,CHN,2014,12.049,8.643,21.096,99.9,,,3905.318,2224.355,23.51,1778380562696,1.769,268097181064,2083575,10475624944355,7.426,7470,12720,10246590034899,17445351113072,45.824,29.704,99.0,21.395,6.2,43.086,1.031,77,41.062,1.738,93,11.5,89.642,-371108,-947070007,29910500593,146.126,0.63,1371860000,1.7,7.2,,,,15.818,97.949,1.009,,9562911,9.679,,31,3.02,2.953
China,CHN,2015,10.887,8.387,21.039,99.9,,,,,21.354,1333768986064,1.67,242489331627,2102942,11061572618579,7.041,7890,13140,10883162711702,18129538824739,43.235,30.431,99.0,18.11,6.4,40.841,-0.003,77,35.737,1.777,93,10.7,100.0,-646941,-306290009,33104675862,146.978,0.581,1379860000,0.6,5.7,,,,16.043,97.154,1.012,,9562911,9.377,,31,4.903,2.843
China,CHN,2016,10.747,8.057,21.473,99.9,,,,,19.584,1413904270463,1.772,174749584584,2124599,11233313730349,6.849,8210,13810,11387926589493,19169812362362,42.631,30.255,99.0,17.31,6.5,39.581,1.407,77,32.809,1.769,97,9.9,99.778,-153056,-791429993,26883278894,147.823,0.573,1387790000,0.1,4.5,,,,15.63,97.391,1.01,,9562910,9.123,15.939,29,6.919,2.776
China,CHN,2017,10.236,7.464,21.196,,84.5,,,,19.692,1710819944232,1.813,166083755722,2143395,12310491333981,6.947,8670,14730,12104947880655,20567696024680,43.013,30.912,99.0,17.94,6.4,39.852,4.233,77,33.363,1.711,104,9.2,94.338,-94625,-989940002,28675983092,148.72,0.605,1396215000,0.0,3.1,,,,15.883,97.922,1.013,,9562910,9.419,14.588,25,7.587,2.74
China,CHN,2018,8.691,7.043,21.078,,,,,,19.112,1961562462977,1.554,235365050036,2162190,13894907857881,6.75,9540,15940,13385454878143,22355235407454,43.793,31.548,99.0,18.454,6.5,39.687,3.5,78,33.267,1.674,116,8.6,91.452,-198206,-705270020,24305605211,149.417,0.468,1402760000,0.0,1.7,,,,16.536,98.17,1.014,,9562910,9.053,14.588,9,8.253,2.503
China,CHN,2019,8.277,7.144,21.406,,,,,,18.41,2114161989828,1.496,187169822365,2180986,14279968506272,5.951,10310,17210,14512888852526,24232656456410,43.251,30.819,99.0,17.48,6.7,38.587,1.287,78,32.058,1.683,123,8.0,92.668,-656091,-608580017,18294313104,149.948,0.355,1407745000,0.0,0.6,,,,16.101,98.235,1.015,,9562910,8.493,14.736,9,9.495,2.29
China,CHN,2020,6.737,7.699,20.21,,,,,,18.586,2326232537962,1.281,253095616059,2199782,14687744162801,2.239,10520,17750,14843775282281,25044516316642,43.367,31.277,99.0,16.168,7.2,37.843,0.492,78,31.699,1.757,121,7.5,98.502,-91577,-572500000,18876250770,150.306,0.238,1411100000,0.0,0.0,,,,14.086,99.024,1.013,,9562910,8.091,14.747,,9.195,2.078
China,CHN,2021,5.996,7.241,20.21,,,,,,19.944,2724353650085,1.164,344074977062,2218578,17820459508852,8.448,11950,20260,16883573489784,28620861782223,43.14,30.219,99.0,17.358,7.4,39.291,4.552,78,33.644,1.613,122,7.0,90.223,-379749,-564140015,22479899033,150.44,0.089,1412360000,0.0,,,,,14.937,99.43,1.012,,9562910,7.965,14.747,,8.688,1.839
China,CHN,2022,5.463,7.322,,,,,,,20.791,2448050054961,1.175,190203789093,2237373,17881782683707,2.951,12860,22320,18158288229356,31515177569069,43.146,27.765,99.0,17.56,,39.328,1.824,79,34.957,1.595,125,6.6,,-293846,-282320007,26093633202,150.42,-0.013,1412175000,,,,,,15.012,100.172,,,9562910,7.701,14.747,,10.745,1.649
France,FRA,2014,8.843,1.462,13.648,98.3,,,6939.944,3659.088,30.742,,2.0,5063648998,167526,2861236112552,0.998,43350,41010,2874466540723,2719730300347,21.836,27.47,91.0,31.457,8.0,17.342,0.571,83,43.967,1.863,103,4.1,97.575,52342,,27976008592,121.105,0.475,66312067,0.0,,0.4,,,44.22,101.28,1.007,103.426,549087,23.119,,4,,0.802
France,FRA,2015,8.176,1.504,14.058,97.7,,,,3692.018,31.693,,1.96,43133325471,168360,2442483452642,1.067,41130,41730,2737376827058,2777204974935,21.717,28.212,91.0,31.811,7.9,17.236,1.134,82,44.095,1.872,104,4.2,100.0,-345,,25447506168,121.537,0.356,66548272,0.1,,0.4,,,43.978,101.99,1.003,103.396,549087,23.166,,4,,0.684
France,FRA,2016,7.557,1.338,13.218,97.4,,,,,31.498,,1.92,35623357280,169194,2470407619777,0.86,39100,43830,2609008611542,2924692709642,21.598,27.933,90.0,31.845,8.0,16.943,0.517,83,43.266,1.917,106,4.2,99.54,15548,,25592759188,121.858,0.264,66724104,0.1,,0.4,,,43.903,102.26,1.003,103.308,549087,23.089,26.081,4,,0.592
France,FRA,2017,7.122,1.435,13.473,98.0,,,,,32.312,,1.89,43733253504,170028,2588868323335,2.084,38300,45580,2563020536489,3050429224954,22.181,26.018,90.0,33.084,8.1,16.748,0.586,83,44.6,1.909,108,4.2,97.712,102984,,26805186001,122.212,0.29,66918020,0.0,,0.4,,,44.469,102.417,1.002,103.756,549087,23.687,33.207,4,,0.619
France,FRA,2018,6.397,1.531,13.461,98.1,,,,,32.918,,1.87,77493098693,170862,2781576320884,1.646,41130,47620,2761891938900,3197837511869,22.612,25.935,90.0,33.884,8.0,16.725,1.115,83,45.25,1.843,110,4.3,96.717,132925,,28387547436,122.651,0.358,67158348,0.0,,0.4,,,44.164,102.464,1.001,103.773,549087,24.252,33.207,4,,0.687
France,FRA,2019,6.127,1.408,13.106,97.6,,,,,32.89,,1.86,53499337504,171696,2722793515172,2.027,42470,52340,2861712899208,3527047088054,23.025,26.927,92.0,33.539,7.8,16.907,1.211,83,45.013,1.836,112,4.2,96.906,71972,,28763750644,123.059,0.333,67382061,0.1,,0.4,,,43.056,102.448,0.999,104.077,549087,24.569,35.039,4,,0.661
